"","Year","Grazing_Treatment","Block","Plot","Sample","Order","Family"
"55",2020,"NG","1",3,"5b","Orthoptera","Acrididae"
"56",2020,"NG","1",3,"6","Orthoptera","Acrididae"
"57",2020,"LG","1",9,"1","Orthoptera","Acrididae"
"58",2020,"HG","1",14,"1","Orthoptera","Acrididae"
"59",2020,"LG","1",9,"2","Orthoptera","Acrididae"
"60",2020,"HG","1",14,"2","Orthoptera","Acrididae"
"61",2020,"LG","1",9,"3","Orthoptera","Acrididae"
"62",2020,"HG","1",14,"3","Orthoptera","Acrididae"
"63",2020,"LG","1",9,"4","Orthoptera","Acrididae"
"64",2020,"HG","1",14,"4","Orthoptera","Acrididae"
"65",2020,"LG","1",9,"5","Orthoptera","Acrididae"
"66",2020,"HG","1",14,"5","Orthoptera","Acrididae"
"67",2020,"LG","1",9,"6","Orthoptera","Acrididae"
"68",2020,"HG","1",14,"6","Orthoptera","Acrididae"
"69",2020,"LG","1",9,"7","Hemiptera","Cicadellidae"
"70",2020,"HG","1",14,"7","Orthoptera","Acrididae"
"71",2020,"LG","1",9,"8","Hymenoptera","Formicidae"
"72",2020,"HG","1",14,"8","Orthoptera","Acrididae"
"73",2020,"LG","1",9,"9","Araneae","Thomisidae"
"74",2020,"HG","1",14,"9","Orthoptera","Acrididae"
"75",2020,"HG","1",14,"10","Hemiptera","Cicadellidae"
"76",2020,"HG","1",14,"11","Hemiptera","Cicadellidae"
"77",2020,"HG","1",14,"12","Hemiptera","Cicadellidae"
"78",2020,"HG","1",14,"13","Hemiptera","Cicadellidae"
"79",2020,"HG","1",14,"14","Hemiptera","Cicadellidae"
"80",2020,"HG","1",14,"15","Hemiptera","Cicadellidae"
"81",2020,"HG","1",14,"16","Hemiptera","Cicadellidae"
"82",2020,"HG","1",14,"17","Coleoptera","Latridiidae"
"83",2020,"HG","1",14,"18","Coleoptera","Latridiidae"
"84",2020,"HG","1",14,"19","Coleoptera","Latridiidae"
"85",2020,"HG","1",14,"20","Hemiptera","Cicadellidae"
"86",2020,"HG","1",14,"21","Hymenoptera","Platygastridae"
"87",2020,"NG","1",4,"25","Hymenoptera","Formicidae"
"88",2020,"NG","1",4,"26","Coleoptera","Chrysomelidae"
"89",2020,"NG","1",4,"27","Hemiptera","Cicadellidae"
"90",2020,"NG","1",4,"28","Coleoptera","Latridiidae"
"91",2020,"NG","1",4,"29","Hemiptera","Cicadellidae"
"92",2020,"NG","1",4,"30","Hymenoptera","Formicidae"
"93",2020,"NG","1",4,"31","Hemiptera","Cicadellidae"
"94",2020,"NG","1",4,"32","Hemiptera","Scutelleridae"
"95",2020,"NG","1",4,"33","Hemiptera","Cicadellidae"
"96",2020,"NG","1",4,"34","Coleoptera","Latridiidae"
"97",2020,"NG","1",4,"35","Orthoptera","Acrididae"
"98",2020,"NG","1",4,"37","Orthoptera","Acrididae"
"99",2020,"NG","1",4,"38","Orthoptera","Acrididae"
"100",2020,"NG","1",4,"39","Orthoptera","Acrididae"
"101",2020,"NG","1",4,"40","Orthoptera","Acrididae"
"102",2020,"HG","3",44,"41","Orthoptera","Acrididae"
"103",2020,"NG","1",5,"1","Orthoptera","Acrididae"
"104",2020,"NG","1",5,"2","Orthoptera","Acrididae"
"105",2020,"NG","1",5,"3","Orthoptera","Acrididae"
"106",2020,"NG","1",5,"4","Orthoptera","Acrididae"
"107",2020,"NG","1",5,"5","Orthoptera","Acrididae"
"108",2020,"NG","1",5,"6","Orthoptera","Acrididae"
"109",2020,"NG","1",5,"7","Orthoptera","Acrididae"
"110",2020,"NG","1",5,"8","Orthoptera","Acrididae"
"111",2020,"NG","1",5,"9","Orthoptera","Acrididae"
"112",2020,"NG","1",5,"10","Hemiptera","Cicadellidae"
"113",2020,"NG","1",5,"11","Coleoptera","Chrysomelidae"
"114",2020,"LG","1",6,"1","Orthoptera","Acrididae"
"115",2020,"LG","1",6,"2","Orthoptera","Acrididae"
"116",2020,"LG","1",6,"3","Orthoptera","Acrididae"
"117",2020,"LG","1",6,"4","Orthoptera","Acrididae"
"118",2020,"LG","1",6,"5","Orthoptera","Acrididae"
"119",2020,"LG","1",6,"6","Araneae","Thomisidae"
"120",2020,"LG","1",6,"7","Coleoptera","Curculionidae"
"121",2020,"LG","1",6,"8","Hemiptera","Scutelleridae"
"122",2020,"LG","1",6,"9","Araneae","Lycosidae"
"123",2020,"LG","1",6,"10","Araneae","Lycosidae"
"124",2020,"LG","1",6,"11","Diptera","Muscidae"
"125",2020,"LG","1",6,"12","Diptera","Agromyzidae"
"126",2020,"LG","1",6,"13","Hemiptera","Cicadellidae"
"127",2020,"LG","1",6,"14","Coleoptera","Latridiidae"
"128",2020,"LG","1",7,"1","Orthoptera","Acrididae"
"129",2020,"LG","1",7,"2","Orthoptera","Acrididae"
"130",2020,"LG","1",7,"3","Orthoptera","Acrididae"
"131",2020,"LG","1",7,"4","Orthoptera","Acrididae"
"132",2020,"LG","1",7,"5","Orthoptera","Acrididae"
"133",2020,"LG","1",7,"6","Orthoptera","Acrididae"
"134",2020,"LG","1",7,"7","Orthoptera","Acrididae"
"135",2020,"LG","1",7,"8","Orthoptera","Acrididae"
"136",2020,"LG","1",7,"9","Orthoptera","Acrididae"
"137",2020,"LG","1",7,"10","Orthoptera","Acrididae"
"138",2020,"LG","1",7,"11","Orthoptera","Acrididae"
"139",2020,"LG","1",7,"12","Orthoptera","Acrididae"
"140",2020,"LG","1",7,"13","Hemiptera","Cicadellidae"
"141",2020,"LG","1",7,"14","Araneae","Salticidae"
"142",2020,"LG","1",7,"15","Araneae","Thomisidae"
"143",2020,"LG","1",7,"16","Hemiptera","Pentatomidae"
"144",2020,"LG","1",7,"17","Diptera","Agromyzidae"
"145",2020,"LG","1",7,"18","Diptera","Muscidae"
"146",2020,"LG","1",7,"20","Hymenoptera","Formicidae"
"147",2020,"LG","1",7,"21","Hemiptera","Geocoridae"
"148",2020,"LG","1",8,"1","Orthoptera","Acrididae"
"149",2020,"LG","1",8,"2","Orthoptera","Acrididae"
"150",2020,"LG","1",8,"3","Orthoptera","Acrididae"
"151",2020,"LG","1",8,"4","Orthoptera","Acrididae"
"152",2020,"LG","1",8,"5","Orthoptera","Acrididae"
"153",2020,"LG","1",8,"6","Orthoptera","Acrididae"
"154",2020,"LG","1",8,"7","Orthoptera","Acrididae"
"155",2020,"LG","1",8,"8","Orthoptera","Acrididae"
"156",2020,"LG","1",8,"9","Hemiptera","Cicadellidae"
"157",2020,"LG","1",8,"10","Araneae","Thomisidae"
"158",2020,"LG","1",8,"11","Diptera","Muscidae"
"159",2020,"LG","1",8,"12","Coleoptera","Curculionidae"
"160",2020,"LG","1",8,"13","Coleoptera","Latridiidae"
"161",2020,"HG","3",44,"42","Orthoptera","Acrididae"
"162",2020,"HG","3",44,"43","Orthoptera","Acrididae"
"163",2020,"HG","3",44,"44","Orthoptera","Acrididae"
"164",2020,"HG","3",44,"45","Orthoptera","Acrididae"
"165",2020,"HG","3",44,"46","Orthoptera","Acrididae"
"166",2020,"HG","3",44,"47","Orthoptera","Acrididae"
"167",2020,"HG","3",44,"48","Orthoptera","Acrididae"
"168",2020,"HG","3",44,"49","Orthoptera","Acrididae"
"169",2020,"HG","3",44,"50","Orthoptera","Acrididae"
"170",2020,"HG","3",44,"51","Orthoptera","Acrididae"
"171",2020,"LG","1",10,"1","Orthoptera","Acrididae"
"172",2020,"LG","1",10,"2","Hemiptera","Pentatomidae"
"173",2020,"LG","1",10,"3","Hemiptera","Cicadellidae"
"174",2020,"LG","1",10,"4","Hymenoptera","Formicidae"
"175",2020,"HG","1",11,"1","Orthoptera","Acrididae"
"176",2020,"HG","1",11,"3","Orthoptera","Acrididae"
"177",2020,"HG","1",11,"4","Orthoptera","Acrididae"
"178",2020,"HG","1",11,"5","Orthoptera","Acrididae"
"179",2020,"HG","1",11,"6","Orthoptera","Acrididae"
"180",2020,"HG","1",11,"7","Orthoptera","Acrididae"
"181",2020,"HG","1",11,"8","Orthoptera","Acrididae"
"182",2020,"HG","1",11,"9","Hemiptera","Cicadellidae"
"183",2020,"HG","1",11,"10","Coleoptera","Chrysomelidae"
"184",2020,"HG","1",11,"11","Hemiptera","Cicadellidae"
"185",2020,"HG","1",11,"12","Hemiptera","Cicadellidae"
"186",2020,"HG","1",11,"13","Coleoptera","Tenebrionidae"
"187",2020,"HG","1",11,"14","Hemiptera","Cicadellidae"
"188",2020,"HG","1",11,"15","Diptera","Asilidae"
"189",2020,"HG","1",11,"16","Hymenoptera","Formicidae"
"190",2020,"HG","1",12,"1","Orthoptera","Acrididae"
"191",2020,"HG","1",12,"2","Orthoptera","Acrididae"
"192",2020,"HG","1",12,"3","Orthoptera","Acrididae"
"193",2020,"HG","1",12,"4","Orthoptera","Acrididae"
"194",2020,"HG","1",12,"5","Coleoptera","Latridiidae"
"195",2020,"HG","1",12,"6","Hemiptera","Cicadellidae"
"196",2020,"HG","1",12,"7","Hemiptera","Pentatomidae"
"197",2020,"HG","1",12,"8","Araneae","Thomisidae"
"198",2020,"HG","1",12,"9","Hymenoptera","Platygastridae"
"199",2020,"HG","3",44,"52","Orthoptera","Acrididae"
"200",2020,"HG","3",44,"53","Orthoptera","Acrididae"
"201",2020,"HG","3",44,"54","Orthoptera","Acrididae"
"202",2020,"HG","3",44,"55","Orthoptera","Acrididae"
"203",2020,"HG","3",44,"56","Orthoptera","Acrididae"
"204",2020,"HG","3",44,"57","Orthoptera","Acrididae"
"205",2020,"HG","3",44,"58","Orthoptera","Acrididae"
"206",2020,"HG","3",44,"59","Hemiptera","Cicadellidae"
"207",2020,"HG","3",44,"60","Hemiptera","Cicadellidae"
"208",2020,"HG","3",44,"61","Hemiptera","Cicadellidae"
"209",2020,"HG","3",44,"62","Hemiptera","Cicadellidae"
"210",2020,"HG","3",44,"63","Hemiptera","Cicadellidae"
"211",2020,"HG","3",44,"64","Hemiptera","Cicadellidae"
"212",2020,"HG","3",44,"65","Coleoptera","Chrysomelidae"
"213",2020,"HG","3",44,"66","Coleoptera","Chrysomelidae"
"214",2020,"HG","3",44,"67","Hymenoptera","Formicidae"
"215",2020,"HG","3",44,"68","Hemiptera","Cicadellidae"
"216",2020,"HG","1",15,"1","Orthoptera","Acrididae"
"217",2020,"HG","1",15,"2","Orthoptera","Acrididae"
"218",2020,"HG","1",15,"3","Orthoptera","Acrididae"
"219",2020,"HG","1",15,"4","Orthoptera","Acrididae"
"220",2020,"HG","1",15,"5","Hemiptera","Pentatomidae"
"221",2020,"HG","1",15,"6","Hemiptera","Cicadellidae"
"222",2020,"HG","1",15,"7","Coleoptera","Chrysomelidae"
"223",2020,"HG","1",15,"8","Coleoptera","Chrysomelidae"
"224",2020,"HG","1",15,"9","Coleoptera","Chrysomelidae"
"225",2020,"HG","1",15,"10","Hemiptera","Cicadellidae"
"226",2020,"HG","1",15,"11","Coleoptera","Latridiidae"
"227",2020,"HG","1",15,"12","Coleoptera","Latridiidae"
"228",2020,"HG","1",15,"13","Coleoptera","Carabidae"
"229",2020,"HG","1",15,"14","Araneae","Salticidae"
"230",2020,"HG","1",15,"15","Araneae","Thomisidae"
"231",2020,"NG","2",16,"1","Hemiptera","Cicadellidae"
"232",2020,"NG","2",16,"2","Hemiptera","Cicadellidae"
"233",2020,"NG","2",16,"3","Coleoptera","Chrysomelidae"
"234",2020,"NG","2",16,"4","Coleoptera","Chrysomelidae"
"235",2020,"NG","2",16,"5","Hemiptera","Cicadellidae"
"236",2020,"NG","2",16,"6","Coleoptera","Chrysomelidae"
"237",2020,"NG","2",16,"7","Coleoptera","Chrysomelidae"
"238",2020,"NG","2",16,"8","Coleoptera","Chrysomelidae"
"239",2020,"NG","2",16,"9","Coleoptera","Latridiidae"
"240",2020,"NG","2",16,"10","Hemiptera","Cicadellidae"
"241",2020,"NG","2",16,"11","Hemiptera","Geocoridae"
"242",2020,"NG","2",16,"12","Orthoptera","Acrididae"
"243",2020,"NG","2",16,"13","Orthoptera","Acrididae"
"244",2020,"NG","2",16,"14","Orthoptera","Acrididae"
"245",2020,"NG","2",16,"15","Orthoptera","Acrididae"
"246",2020,"NG","2",16,"16","Orthoptera","Acrididae"
"247",2020,"NG","2",16,"17","Orthoptera","Acrididae"
"248",2020,"NG","2",16,"18","Orthoptera","Acrididae"
"249",2020,"NG","2",16,"19","Araneae","Thomisidae"
"250",2020,"NG","2",17,"1","Orthoptera","Acrididae"
"251",2020,"NG","2",17,"2","Orthoptera","Acrididae"
"252",2020,"NG","2",17,"3","Hemiptera","Cicadellidae"
"253",2020,"NG","2",17,"4","Hemiptera","Cicadellidae"
"254",2020,"NG","2",17,"5","Hemiptera","Cicadellidae"
"255",2020,"NG","2",17,"6","Hemiptera","Cicadellidae"
"256",2020,"NG","2",17,"7","Hemiptera","Cicadellidae"
"257",2020,"NG","2",17,"8","Hemiptera","Cicadellidae"
"258",2020,"NG","2",17,"9","Hemiptera","Cicadellidae"
"259",2020,"NG","2",17,"10","Hemiptera","Cicadellidae"
"260",2020,"NG","2",17,"11","Hemiptera","Cicadellidae"
"261",2020,"NG","2",17,"12","Hemiptera","Cicadellidae"
"262",2020,"NG","2",17,"13","Hemiptera","Pentatomidae"
"263",2020,"NG","2",17,"14","Coleoptera","Latridiidae"
"264",2020,"NG","2",17,"15","Hemiptera","Scutelleridae"
"265",2020,"NG","2",17,"16","Hemiptera","Scutelleridae"
"266",2020,"NG","2",17,"17","Hemiptera","Scutelleridae"
"267",2020,"NG","2",17,"18","Hemiptera","Pentatomidae"
"268",2020,"NG","2",17,"19","Hemiptera","Cicadellidae"
"269",2020,"NG","2",17,"20","Hemiptera","Cicadellidae"
"270",2020,"NG","2",18,"1","Orthoptera","Acrididae"
"271",2020,"NG","2",18,"2","Orthoptera","Acrididae"
"272",2020,"NG","2",18,"3","Orthoptera","Acrididae"
"273",2020,"NG","2",18,"4","Hemiptera","Cicadellidae"
"274",2020,"NG","2",18,"5","Hemiptera","Cicadellidae"
"275",2020,"NG","2",18,"6","Hemiptera","Cicadellidae"
"276",2020,"NG","2",18,"7","Coleoptera","Chrysomelidae"
"277",2020,"NG","2",18,"8","Coleoptera","Latridiidae"
"278",2020,"NG","2",18,"9","Hemiptera","Cicadellidae"
"279",2020,"NG","2",18,"10","Hemiptera","Cicadellidae"
"280",2020,"NG","2",18,"11","Hemiptera","Cicadellidae"
"281",2020,"NG","2",18,"12","Hemiptera","Cicadellidae"
"282",2020,"NG","2",18,"13","Coleoptera","Latridiidae"
"283",2020,"NG","2",18,"14","Hymenoptera","Formicidae"
"284",2020,"NG","2",18,"15","Hemiptera","Cicadellidae"
"285",2020,"NG","2",18,"16","Diptera","Muscidae"
"286",2020,"NG","2",18,"17","Diptera","Agromyzidae"
"287",2020,"NG","2",18,"18","Hemiptera","Cicadellidae"
"288",2020,"NG","2",18,"19","Hemiptera","Cicadellidae"
"289",2020,"NG","2",19,"1","Orthoptera","Acrididae"
"290",2020,"NG","2",19,"2","Orthoptera","Acrididae"
"291",2020,"NG","2",19,"3","Orthoptera","Acrididae"
"292",2020,"NG","2",19,"4","Araneae","Lycosidae"
"293",2020,"NG","2",19,"5","Araneae","Salticidae"
"294",2020,"NG","2",19,"6","Hemiptera","Cicadellidae"
"295",2020,"NG","2",19,"7","Hemiptera","Cicadellidae"
"296",2020,"NG","2",19,"8","Hemiptera","Cicadellidae"
"297",2020,"NG","2",19,"9","Hemiptera","Cicadellidae"
"298",2020,"NG","2",19,"10","Hemiptera","Cicadellidae"
"299",2020,"NG","2",19,"11","Hemiptera","Cicadellidae"
"300",2020,"NG","2",19,"12","Hemiptera","Cicadellidae"
"301",2020,"NG","2",19,"13","Hemiptera","Cicadellidae"
"302",2020,"NG","2",19,"14","Hemiptera","Cicadellidae"
"303",2020,"NG","2",19,"15","Hemiptera","Cicadellidae"
"304",2020,"NG","2",19,"16","Hemiptera","Cicadellidae"
"305",2020,"NG","2",19,"17","Hemiptera","Cicadellidae"
"306",2020,"NG","2",19,"18","Hemiptera","Cicadellidae"
"307",2020,"NG","2",19,"19","Hemiptera","Cicadellidae"
"308",2020,"NG","2",19,"20","Hemiptera","Cicadellidae"
"309",2020,"NG","2",19,"21","Hemiptera","Cicadellidae"
"310",2020,"NG","2",19,"22","Coleoptera","Latridiidae"
"311",2020,"NG","2",19,"23","Hemiptera","Cicadellidae"
"312",2020,"NG","2",19,"24","Hemiptera","Cicadellidae"
"313",2020,"NG","2",19,"25","Diptera","Asilidae"
"314",2020,"NG","2",20,"1","Araneae","Thomisidae"
"315",2020,"NG","2",20,"2","Coleoptera","Latridiidae"
"316",2020,"NG","2",20,"3","Coleoptera","Latridiidae"
"317",2020,"NG","2",20,"4","Coleoptera","Latridiidae"
"318",2020,"NG","2",20,"5","Coleoptera","Latridiidae"
"319",2020,"NG","2",20,"6","Hemiptera","Pentatomidae"
"320",2020,"NG","2",20,"7","Coleoptera","Chrysomelidae"
"321",2020,"NG","2",20,"8","Hemiptera","Cicadellidae"
"322",2020,"NG","2",20,"9","Hemiptera","Cicadellidae"
"323",2020,"NG","2",20,"10","Hemiptera","Cicadellidae"
"324",2020,"NG","2",20,"11","Hemiptera","Cicadellidae"
"325",2020,"NG","2",20,"12","Hemiptera","Cicadellidae"
"326",2020,"NG","2",20,"13","Hemiptera","Cicadellidae"
"327",2020,"NG","2",20,"14","Hemiptera","Cicadellidae"
"328",2020,"NG","2",20,"15","Hemiptera","Cicadellidae"
"329",2020,"NG","2",20,"16","Hemiptera","Cicadellidae"
"330",2020,"NG","2",20,"17","Hemiptera","Cicadellidae"
"331",2020,"NG","2",20,"18","Hemiptera","Cicadellidae"
"332",2020,"NG","2",20,"19","Orthoptera","Acrididae"
"333",2020,"NG","2",20,"20","Orthoptera","Acrididae"
"334",2020,"NG","2",20,"21","Orthoptera","Acrididae"
"335",2020,"NG","2",20,"22","Orthoptera","Acrididae"
"336",2020,"LG","2",21,"1","Coleoptera","Chrysomelidae"
"337",2020,"LG","2",21,"2","Coleoptera","Chrysomelidae"
"338",2020,"LG","2",21,"3","Coleoptera","Chrysomelidae"
"339",2020,"LG","2",21,"4","Coleoptera","Chrysomelidae"
"340",2020,"LG","2",21,"5","Coleoptera","Chrysomelidae"
"341",2020,"LG","2",21,"6","Coleoptera","Chrysomelidae"
"342",2020,"LG","2",21,"7","Coleoptera","Chrysomelidae"
"343",2020,"LG","2",21,"8","Coleoptera","Chrysomelidae"
"344",2020,"LG","2",21,"9","Coleoptera","Latridiidae"
"345",2020,"LG","2",21,"10","Coleoptera","Latridiidae"
"346",2020,"LG","2",21,"11","Coleoptera","Latridiidae"
"347",2020,"LG","2",21,"12","Coleoptera","Latridiidae"
"348",2020,"LG","2",21,"13","Coleoptera","Latridiidae"
"349",2020,"LG","2",21,"14","Coleoptera","Latridiidae"
"350",2020,"LG","2",21,"15","Hemiptera","Pentatomidae"
"351",2020,"LG","2",21,"16","Hemiptera","Pentatomidae"
"352",2020,"LG","2",21,"17","Hemiptera","Latridiidae"
"353",2020,"LG","2",21,"18","Araneae","Salticidae"
"354",2020,"LG","2",21,"19","Coleoptera","Scutelleridae"
"355",2020,"LG","2",21,"20","Coleoptera","Staphylinidae"
"356",2020,"LG","2",21,"21","Hemiptera","Cicadellidae"
"357",2020,"LG","2",21,"22","Hemiptera","Cicadellidae"
"358",2020,"LG","2",21,"23","Hemiptera","Cicadellidae"
"359",2020,"LG","2",21,"24","Hemiptera","Cicadellidae"
"360",2020,"LG","2",21,"25","Hemiptera","Cicadellidae"
"361",2020,"LG","2",21,"26","Hemiptera","Cicadellidae"
"362",2020,"LG","2",21,"27","Hemiptera","Cicadellidae"
"363",2020,"LG","2",21,"28","Hemiptera","Cicadellidae"
"364",2020,"LG","2",21,"29","Hemiptera","Cicadellidae"
"365",2020,"LG","2",21,"30","Hemiptera","Cicadellidae"
"366",2020,"LG","2",21,"31","Hemiptera","Cicadellidae"
"367",2020,"LG","2",21,"32","Hemiptera","Cicadellidae"
"368",2020,"LG","2",21,"33","Hemiptera","Cicadellidae"
"369",2020,"LG","2",21,"34","Hemiptera","Cicadellidae"
"370",2020,"LG","2",21,"35","Hemiptera","Cicadellidae"
"371",2020,"LG","2",21,"36","Coleoptera","Staphylinidae"
"372",2020,"LG","2",21,"37","Coleoptera","Latridiidae"
"373",2020,"LG","2",21,"38","Hemiptera","Cicadellidae"
"374",2020,"LG","2",21,"39","Orthoptera","Acrididae"
"375",2020,"LG","2",21,"40","Orthoptera","Acrididae"
"376",2020,"LG","2",21,"41","Orthoptera","Acrididae"
"377",2020,"LG","2",21,"42","Orthoptera","Acrididae"
"378",2020,"LG","2",21,"43","Orthoptera","Acrididae"
"379",2020,"LG","2",21,"44","Orthoptera","Acrididae"
"380",2020,"LG","2",21,"45","Orthoptera","Acrididae"
"381",2020,"LG","2",21,"46","Orthoptera","Acrididae"
"382",2020,"LG","2",21,"47","Orthoptera","Acrididae"
"383",2020,"LG","2",21,"48","Orthoptera","Acrididae"
"384",2020,"LG","2",21,"49","Orthoptera","Acrididae"
"385",2020,"LG","2",21,"50","Orthoptera","Acrididae"
"386",2020,"LG","2",21,"51","Orthoptera","Acrididae"
"387",2020,"LG","2",21,"52","Diptera","Agromyzidae"
"388",2020,"LG","2",22,"1","Orthoptera","Acrididae"
"389",2020,"LG","2",22,"2","Orthoptera","Acrididae"
"390",2020,"LG","2",22,"3","Orthoptera","Acrididae"
"391",2020,"LG","2",22,"4","Hemiptera","Cicadellidae"
"392",2020,"LG","2",22,"5","Coleoptera","Chrysomelidae"
"393",2020,"LG","2",22,"6","Araneae","Salticidae"
"394",2020,"LG","2",22,"8","Hymenoptera","Platygastridae"
"395",2020,"LG","2",22,"9","Diptera","Agromyzidae"
"396",2020,"LG","2",23,"1","Orthoptera","Acrididae"
"397",2020,"LG","2",23,"2","Orthoptera","Acrididae"
"398",2020,"LG","2",23,"3","Orthoptera","Acrididae"
"399",2020,"LG","2",23,"4","Hemiptera","Pentatomidae"
"400",2020,"LG","2",23,"5","Hemiptera","Cicadellidae"
"401",2020,"LG","2",23,"6","Hemiptera","Cicadellidae"
"402",2020,"LG","2",23,"7","Hemiptera","Cicadellidae"
"403",2020,"LG","2",23,"8","Diptera","Muscidae"
"404",2020,"LG","2",23,"9","Hymenoptera","Formicidae"
"405",2020,"LG","2",23,"10","Hemiptera","Cicadellidae"
"406",2020,"LG","2",23,"11","Hemiptera","Cicadellidae"
"407",2020,"LG","2",23,"12","Orthoptera","Acrididae"
"408",2020,"LG","2",23,"14","Diptera","Agromyzidae"
"409",2020,"LG","2",24,"1","Orthoptera","Acrididae"
"410",2020,"LG","2",24,"2","Orthoptera","Acrididae"
"411",2020,"LG","2",24,"3","Orthoptera","Acrididae"
"412",2020,"LG","2",24,"4","Orthoptera","Acrididae"
"413",2020,"LG","2",24,"5","Orthoptera","Acrididae"
"414",2020,"LG","2",24,"6","Orthoptera","Acrididae"
"415",2020,"LG","2",24,"7","Orthoptera","Acrididae"
"416",2020,"LG","2",24,"8","Orthoptera","Acrididae"
"417",2020,"LG","2",24,"9","Orthoptera","Acrididae"
"418",2020,"LG","2",24,"10","Orthoptera","Acrididae"
"419",2020,"LG","2",24,"11","Orthoptera","Acrididae"
"420",2020,"LG","2",24,"12","Orthoptera","Acrididae"
"421",2020,"LG","2",24,"13","Orthoptera","Acrididae"
"422",2020,"LG","2",24,"14","Coleoptera","Latridiidae"
"423",2020,"LG","2",24,"15","Coleoptera","Chrysomelidae"
"424",2020,"LG","2",24,"16","Hemiptera","Cicadellidae"
"425",2020,"LG","2",24,"17","Araneae","Thomisidae"
"426",2020,"LG","2",24,"18","Hymenoptera","Platygastridae"
"427",2020,"LG","2",24,"19","Diptera","Agromyzidae"
"428",2020,"LG","2",25,"1","Orthoptera","Acrididae"
"429",2020,"LG","2",25,"2","Orthoptera","Acrididae"
"430",2020,"LG","2",25,"3","Orthoptera","Acrididae"
"431",2020,"LG","2",25,"4","Orthoptera","Acrididae"
"432",2020,"LG","2",25,"5","Orthoptera","Acrididae"
"433",2020,"LG","2",25,"6","Orthoptera","Acrididae"
"434",2020,"LG","2",25,"7","Orthoptera","Acrididae"
"435",2020,"LG","2",25,"8","Orthoptera","Acrididae"
