"","Year","Block","Grazing_Treatment","Plot","Shannon","richness","Evar"
"117",2022,3,"LG",39,0.301905655291652,7,0.220735305860244
"118",2020,3,"LG",40,1.22752941145721,5,0.697911686931242
"119",2021,3,"LG",40,0.509137344082687,3,0.400928450076496
"120",2022,3,"LG",40,1.73212598149027,7,0.74731909094787
"121",2020,3,"HG",41,1.55958115625988,7,0.69982664137148
"122",2021,3,"HG",41,1.242453324894,4,0.858317568199925
"123",2022,3,"HG",41,1.34157210592064,7,0.417625311899324
"124",2020,3,"HG",42,0.796311640173813,3,0.667493386453631
"125",2021,3,"HG",42,1.2130075659799,4,0.796900215376078
"126",2022,3,"HG",42,1.60160730635451,11,0.56765556007596
"127",2020,3,"HG",43,2.11543846254333,11,0.712596431186144
"128",2021,3,"HG",43,0.950270539233235,3,0.833177907697999
"129",2022,3,"HG",43,1.17865499634165,5,0.631541697111334
"130",2020,3,"HG",44,1.05685758457408,4,0.606367286421199
"131",2021,3,"HG",44,0.636514168294813,2,0.923898109345373
"132",2022,3,"HG",44,1.20129336104552,7,0.384965584261336
"133",2020,3,"HG",45,1.55958115625988,6,0.679790072331894
"134",2021,3,"HG",45,0.796311640173813,3,0.667493386453631
"135",2022,3,"HG",45,1.36561143297502,8,0.466801006405544
