Year,Grazing_Treatment,Block,Plot,Original_Plot,Sample,Class,Order,Family,Genus,Species,Notes,IDer,Date
2020,LG,B1,10,5,3,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,5/12/21
2020,LG,B1,10,5,4,Insecta,Hymenoptera,Formicidae,NA,NA,,WM,5/12/21
2020,LG,B1,10,5,NA,NA,NA,NA,NA,NA,Body Parts,WM,5/12/21
2020,HG,B1,11,1,1,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,1/27/21
2020,HG,B1,11,1,3,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,1/27/21
2020,HG,B1,11,1,4,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,1/27/21
2020,HG,B1,11,1,5,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,1/27/21
2020,HG,B1,11,1,6,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,1/27/21
2020,HG,B1,11,1,7,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,1/27/21
2020,HG,B1,11,1,8,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,1st/2nd Instar,WM,1/27/21
2020,HG,B1,11,1,9,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,1/27/21
2020,HG,B1,11,1,10,Insecta,Coleoptera,Chrysomelidae,NA,NA,,WM,1/27/21
2020,HG,B1,11,1,11,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,1/27/21
2020,HG,B1,11,1,12,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,1/27/21
2020,HG,B1,11,1,13,Insecta,Coleoptera,Tenebrionidae,NA,NA,,WM,1/27/21
2020,HG,B1,11,1,14,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,1/27/21
2020,HG,B1,11,1,15,Insecta,Diptera,Asilidae,NA,NA,,WM,1/27/21
2020,HG,B1,11,1,16,Insecta,Hymenoptera,Formicidae,NA,NA,,WM,1/27/21
2020,HG,B1,11,1,NA,NA,NA,NA,NA,NA,Body Parts,WM,1/27/21
2020,HG,B1,12,2,1,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/11/21
2020,HG,B1,12,2,2,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,WM,5/11/21
2020,HG,B1,12,2,3,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/11/21
2020,HG,B1,12,2,4,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,WM,5/11/21
2020,HG,B1,12,2,5,Insecta,Coleoptera,Latridiidae,NA,NA,Body Parts,WM,5/11/21
2020,HG,B1,12,2,6,Insecta,Hemiptera,Cicadellidae,NA,NA,,WM,5/11/21
2020,HG,B1,12,2,7,Insecta,Hemiptera,Pentatomidae,NA,NA,different kind,WM,5/11/21
2020,HG,B1,12,2,8,Arachnida,Araneae,Thomisidae,NA,NA,,WM,5/11/21
2020,HG,B1,12,2,9,Insecta,Hymenoptera,Platygastridae,NA,NA,,WM,5/11/21
2020,HG,B3,44,4,52,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,HG,B3,44,4,53,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,Missing legs,JB,2/26/21
2020,HG,B3,44,4,54,Insecta,Orthoptera,Acrididae,Melanoplus,gladstoni,,JB,2/26/21
2020,HG,B3,44,4,55,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,JB,2/26/21
2020,HG,B3,44,4,56,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,JB,2/26/21
2020,HG,B3,44,4,57,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,HG,B3,44,4,58,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,JB,2/26/21
2020,HG,B3,44,4,59,Insecta,Hemiptera,Cicadellidae,NA,NA,Just head,JB,2/26/21
2020,HG,B3,44,4,60,Insecta,Hemiptera,Cicadellidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,61,Insecta,Hemiptera,Cicadellidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,62,Insecta,Hemiptera,Cicadellidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,63,Insecta,Hemiptera,Cicadellidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,64,Insecta,Hemiptera,Cicadellidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,65,Insecta,Coleoptera,Chrysomelidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,66,Insecta,Coleoptera,Chrysomelidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,67,Insecta,Hymenoptera,Formicidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,68,Insecta,Hemiptera,Cicadellidae,NA,NA,,JB,2/26/21
2020,HG,B3,44,4,69,Insecta,Hymenoptera,NA,NA,NA,wasp,JB,2/26/21
2020,HG,B3,44,4,NA,NA,NA,NA,NA,NA,Body Parts,JB,2/26/21
2020,HG,B3,44,4,NA,NA,NA,NA,NA,NA,Body Parts/Legs,JB,2/26/21
2020,LG,B1,9,4,NA,NA,NA,NA,NA,NA,Body Parts,WM,5/11/21
2020,HG,B1,15,5,1,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KB,5/20/21
2020,HG,B1,15,5,2,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,KB,5/20/21
2020,HG,B1,15,5,3,Insecta,Orthoptera,Acrididae,Melanoplus,keeleri,,KB,5/20/21
2020,HG,B1,15,5,4,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,KB,5/20/21
2020,HG,B1,15,5,5,Insecta,Hemiptera,Pentatomidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,6,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,7,Insecta,Coleoptera,Chrysomelidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,8,Insecta,Coleoptera,Chrysomelidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,9,Insecta,Coleoptera,Chrysomelidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,10,Insecta,Hemiptera,Cicadellidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,11,Insecta,Coleoptera,Latridiidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,12,Insecta,Coleoptera,Latridiidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,13,Insecta,Coleoptera,Carabidae,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,14,Arachnida,Araneae,Salticide,NA,NA,,KB,5/20/21
2020,HG,B1,15,5,15,Arachnida,Araneae,Thomisidae,NA,NA,,KB,5/20/21
2020,NG,B2,16,1,1,Insecta,Hemiptera,Cicadellidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,2,Insecta,Hemiptera,Cicadellidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,3,Insecta,Coleoptera,Chrysomelidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,4,Insecta,Coleoptera,Chrysomelidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,5,Insecta,Hemiptera,Cicadellidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,6,Insecta,Coleoptera,Chrysomelidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,7,Insecta,Coleoptera,Chrysomelidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,8,Insecta,Coleoptera,Chrysomelidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,9,Insecta,Coleoptera,Latridiidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,10,Insecta,Hemiptera,Cicadellidae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,11,Insecta,Hemiptera,Geocoridae,NA,NA,,TB,1/26/21
2020,NG,B2,16,1,12,Insecta,Orthoptera,Acrididae,Melanoplus,confusus,,TB,1/26/21
2020,NG,B2,16,1,13,Insecta,Orthoptera,Acrididae,Melanoplus,sanguinipes,,TB,1/26/21
2020,NG,B2,16,1,14,Insecta,Orthoptera,Acrididae,Melanoplus,infantilis,,TB,1/26/21
2020,NG,B2,16,1,15,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,TB,1/26/21
2020,NG,B2,16,1,16,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,TB,1/26/21
2020,NG,B2,16,1,17,Insecta,Orthoptera,Acrididae,Phoetaliotes,nebrascensis,,TB,1/26/21
